Id,SalePrice
1461,151208.66236670536
1462,183784.1331428917
1463,179950.32433609443
1464,187672.27877448057
1465,212404.0845884707
1466,175957.28582341474
1467,233822.611717567
1468,129656.33236556906
1469,136057.2507670269
1470,127690.90354080994
1471,169114.3842775026
1472,159853.96759449362
1473,91657.39231198412
1474,177204.29702068638
1475,107558.55041408961
1476,255507.8458450693
1477,217916.50949384714
1478,268148.1523130502
1479,217267.68845597116
1480,273378.48842738057
1481,302175.8137499435
1482,143791.449485849
1483,185306.6139105392
1484,144245.87865523505
1485,170343.32640710002
1486,231471.66380942633
1487,246163.526989418
1488,260739.26781793468
1489,188510.98206416218
1490,157740.13975210924
1491,107341.6040317452
1492,114758.59961586873
1493,279020.16675010393
1494,248094.2427008245
1495,305030.93264964764
1496,235297.18627726712
1497,169325.76463844455
1498,148877.31697613432
1499,140827.14165869573
1500,125016.09070394828
1501,135452.1271316295
1502,170412.2320828969
1503,212945.70270663308
1504,250403.94259117584
1505,203666.47055917364
1506,260622.92304861397
1507,250341.13348112017
1508,239397.12265684307
1509,161230.1119226825
1510,155635.56215268184
1511,157505.87527193953
1512,182634.6206849048
1513,162296.18060248083
1514,226784.0049008699
1515,153853.3432295303
1516,162761.62261725782
1517,161480.23574692314
1518,132227.83882134463
1519,376079.7254073222
1520,138678.63358130815
1521,143568.26846057622
1522,118304.25554578607
1523,154729.96468132312
1524,82143.98615757104
1525,142296.9795151924
1526,165329.55925873297
1527,109768.20573071137
1528,183250.6371321915
1529,120863.42020934941
1530,310169.9281145759
1531,142843.84599304167
1532,112175.22292754785
1533,163568.06105188615
1534,128524.48057552696
1535,129009.8287788811
1536,177459.9966069137
1537,89570.7332675656
1538,276401.55746795994
1539,194576.06294165
1540,104934.6917010405
1541,151453.42732538612
1542,167606.34558211075
1543,230436.0560237072
1544,97318.71396570867
1545,129430.44118678413
1546,167772.18737965616
1547,151076.0277130217
1548,209894.7536964084
1549,57137.397595794246
1550,160380.36589557835
1551,219294.48404264613
1552,149384.27375448978
1553,194039.37065504646
1554,89439.49437590168
1555,176315.2217761638
1556,113827.50242785405
1557,127643.76888146697
1558,105404.03319552257
1559,73041.36199878885
1560,145803.33338060422
1561,124505.25850809726
1562,128586.0607479504
1563,101931.24065172164
1564,158905.69465544255
1565,153046.80515112804
1566,229995.0327329993
1567,86714.73794272104
1568,197022.26386664607
1569,117563.40676037548
1570,152819.47551616002
1571,102816.15495666617
1572,160076.6607904969
